time,open,high,low,close,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
-3565908238,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3534372238,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3502663438,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3471213838,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3376605838,20.65,20.65,20.65,20.65,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3345069838,20.65,20.65,20.65,20.65,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3313361038,20.65,20.65,20.65,20.65,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3281911438,20.65,20.65,20.65,20.65,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3187217038,20.65,20.65,20.65,20.65,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3155508238,20.65,20.65,20.65,20.65,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
