time,open,high,low,close,EMA,Volume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
1014933600,296.3,304.5,287.95,302.25,289.95727302485534,0,67.87285049346781,51.578663568542005,NaN,NaN,NaN,NaN,NaN,NaN,67.19185429446183
1017612000,302.25,312,297.4,307.75,290.6550270238806,0,70.55215080856944,53.64048568269959,NaN,NaN,NaN,NaN,NaN,NaN,71.20755967595514
1020200400,308.2,329.3,306.7,326.2,292.04894753274806,0,77.60156562514868,56.65993562243602,NaN,NaN,NaN,NaN,77.60156562514868,NaN,75.41575391023024
1023051600,326.3,331.15,310.4,314.2,292.91761625695403,0,66.03484950109646,58.38138386080429,NaN,NaN,NaN,NaN,NaN,NaN,78.85932392962572
1025470800,314.2,325.9,301,303.3,293.3247685606029,0,57.30634085069179,59.34335155385417,NaN,NaN,57.30634085069179,NaN,NaN,NaN,72.37378952380101
1028149200,303.3,318,298.8,312.5,294.07673842097137,0,62.06730007158437,60.27249322047243,NaN,NaN,NaN,NaN,NaN,NaN,65.26516182476288
1030914000,312.5,328.1,311.5,323.5,295.2305918162274,0,67.01501584477526,61.825576239085464,NaN,NaN,NaN,NaN,NaN,NaN,63.03228533192422
1033419600,323.5,324.2,308.5,317.5,296.10390194108123,0,62.04869548800227,62.47021144999038,NaN,NaN,NaN,NaN,NaN,NaN,58.40580100027617
1036101600,317.5,325.5,312,317.9,296.9586508845682,0,62.25846550969694,62.182944950945945,NaN,NaN,NaN,NaN,NaN,NaN,55.2760847239357
1038780000,317.9,355,315.7,347.8,298.9524292812518,0,74.23461239945163,63.63458850809161,NaN,NaN,NaN,NaN,NaN,NaN,59.346201717336534
1041372000,347.8,373.7,340,367.9,301.6562555839478,0,79.2211255706348,65.73207965883343,NaN,NaN,NaN,NaN,79.2211255706348,NaN,64.12665111604696
1044223200,367.9,389.5,341.5,349.7,303.54032399242044,0,66.17498647475018,66.65296549673579,NaN,NaN,NaN,NaN,NaN,NaN,68.78279880067701
1046642400,349.7,358.2,325.8,337.1,304.8563897182079,0,58.65222690757879,66.84518925870611,NaN,NaN,NaN,NaN,NaN,NaN,63.67357256711317
1049148000,337.2,339.7,319.4,338.3,306.16790384690563,0,59.14978171341656,66.44214051849035,NaN,NaN,NaN,NaN,NaN,NaN,56.51458172998017
1051736400,338.3,374.4,338.2,364.2,308.4436723234976,0,68.38674234322625,66.47884707918737,NaN,NaN,NaN,NaN,NaN,NaN,56.85788695794035
1054501200,364.98,369.8,342.9,345.3,309.88901850688984,0,57.679642894821704,65.5593822282054,NaN,NaN,57.679642894821704,NaN,NaN,NaN,57.132531140308494
1057006800,345.1,374.7,340.6,354.1,311.6227824870118,0,60.88732164556046,64.3655076582348,NaN,NaN,NaN,NaN,NaN,NaN,58.06204703719431
1059685200,354.85,377.4,345.4,375.2,314.11600670320746,0,67.52660931865135,64.47206193091729,NaN,NaN,NaN,NaN,NaN,NaN,59.22827966266554
1062363600,375.2,393.5,370,385,316.8957711462189,0,70.17219240755657,65.39105132783621,NaN,NaN,NaN,NaN,NaN,NaN,62.26870986252118
1064955600,385,392.2,366.2,384,319.5273095326417,0,69.5219991417829,65.92352983285039,NaN,NaN,NaN,NaN,NaN,NaN,61.935467704077695
1067810400,384,400.6,376.1,397.9,322.6007483744989,0,73.37915029140989,66.37811086475286,NaN,NaN,NaN,NaN,NaN,NaN,63.08472737618148
1070229600,397.9,417.5,396.9,415.6,326.24777785000873,0,77.46473196994214,67.47925632774857,NaN,NaN,NaN,NaN,77.46473196994214,NaN,66.0159110406233
1072908000,415.6,430.5,396.4,402.4,329.2341395029496,0,68.62809317426718,67.93422973236072,NaN,NaN,NaN,NaN,NaN,NaN,69.386298645376
1075672800,402.3,417,390.9,395.9,331.84848697342215,0,64.54899185882238,67.24239969374435,NaN,NaN,NaN,NaN,NaN,NaN,68.11120705486078
1078092000,395.9,427.2,388.1,425.9,335.5367816019154,0,72.90960779015674,66.79157699513878,NaN,NaN,NaN,NaN,NaN,NaN,68.57884955971736
1080770400,425.8,432.1,377.7,386.8,337.5471038920363,0,54.17589674716743,65.93449915745428,NaN,NaN,54.17589674716743,NaN,NaN,NaN,61.99809707010997
1083531600,386.6,396.7,371.6,395.3,339.81192334725057,0,56.88521469384428,65.8082839993304,NaN,NaN,NaN,NaN,NaN,NaN,53.20279216002858
1086037200,395.3,405,381.9,393.5,341.9173381179466,0,56.09508764105403,65.59009156559021,NaN,NaN,NaN,NaN,NaN,NaN,49.13749675872406
1088629200,393.5,409.1,384.5,390.5,343.82254054469377,0,54.67125851230493,64.61041414909583,NaN,NaN,NaN,NaN,NaN,NaN,47.23617003746948
1091394000,391.25,414.1,389.2,409.5,346.3981271899999,0,61.61345547068286,64.89140076165735,NaN,NaN,NaN,NaN,NaN,NaN,47.32087679271378
1093986000,409.6,418.9,395.3,418.7,349.2334947511764,0,64.56935128460682,65.1544028787321,NaN,NaN,NaN,NaN,NaN,NaN,48.82936018499002
1096578000,418.7,430.6,409.25,428.1,352.32629887858127,0,67.45038601723545,65.14895835720239,NaN,NaN,NaN,NaN,NaN,NaN,52.703254401941976
1099260000,428.1,455.1,417.5,450.8,356.1880126480487,0,73.33992480073807,65.37522495671536,NaN,NaN,NaN,NaN,73.33992480073807,NaN,58.576020550732785
1101852000,450.8,456.7,431.8,438,359.396325877537,0,65.78860667094712,65.10855406594138,NaN,NaN,NaN,NaN,NaN,NaN,63.397524564200125
1104703200,438,438,416.9,422.1,361.8552934901826,0,57.51319715317358,63.97527169892449,NaN,NaN,NaN,NaN,NaN,NaN,56.812798539967616
1107208800,422.1,438,410.5,435.1,364.72763492194014,0,61.91918950982238,62.86487580891594,NaN,NaN,NaN,NaN,NaN,NaN,48.0735632633713
1109628000,435.2,446.9,423.8,428.2,367.2167472779425,0,58.30858084348959,62.127767785288974,NaN,NaN,NaN,NaN,NaN,NaN,44.345791148537174
1112306400,428.1,437.7,422.2,435,369.8749140513565,0,60.840252527350664,61.86285783304099,NaN,NaN,NaN,NaN,NaN,NaN,40.315239640019804
1114981200,434.75,434.75,413.8,416.8,371.7151135003229,0,51.435659330318316,60.32900437162396,NaN,NaN,51.435659330318316,NaN,NaN,NaN,32.628705515920736
1117573200,416.8,443.53,414.8,434.5,374.1772659120749,0,58.460890083333446,60.63507532420725,NaN,NaN,NaN,NaN,NaN,NaN,30.11289565324663
1120165200,434.8,436.5,417.9,429.2,376.33502019003276,0,55.744451627126516,60.55359224801312,NaN,NaN,NaN,NaN,NaN,NaN,28.10024776310735
1122843600,429.5,449.9,428.4,434.85,378.6297252806197,0,58.08046846098821,60.6954051637227,NaN,NaN,NaN,NaN,NaN,NaN,31.91418614589499
1125522000,434.9,475.7,434.3,468.7,382.1618929166738,0,69.0806778768946,61.72464940405053,NaN,NaN,NaN,NaN,NaN,NaN,39.71431641148802
1128286800,469.9,480.4,460.1,465.6,385.4339755473925,0,67.26218727236227,62.128130247027634,NaN,NaN,NaN,NaN,NaN,NaN,46.49450339171072
1130796000,465.6,505.12,455.1,492.7,389.64048631023985,0,73.9946910792933,62.80136880379096,NaN,NaN,NaN,NaN,NaN,NaN,53.9188223804215
1133388000,492.8,541.3,489.7,514.77,394.54752606277947,0,78.1176297477295,63.56331478454053,NaN,NaN,NaN,NaN,NaN,NaN,61.20008249569966
1136152800,513.05,572.7,513.05,568.5,401.36919170737633,0,84.74269026694948,64.37779803212706,NaN,NaN,NaN,NaN,NaN,NaN,67.62027372662426
1138744800,568.6,575.15,535.1,561.6,407.652752816891,0,81.19136772641161,65.47799525037452,NaN,NaN,NaN,NaN,NaN,NaN,72.7954498189336
1141164000,561.2,589.55,534.2,583.65,414.55460564760114,40762,83.65405826958421,67.34519961583243,NaN,NaN,NaN,NaN,NaN,NaN,77.16487609130728
1144011600,583.65,655.8,582.25,654.95,423.9818760143619,103078,88.92780945990553,69.27438675512408,NaN,NaN,NaN,NaN,88.92780945990553,NaN,81.19980393168949
1146430800,654.95,730.45,636.1,645.1,432.65317499419086,113452,84.68163207732016,71.15817612896913,NaN,NaN,NaN,NaN,NaN,NaN,84.64849994300178
1149109200,645.1,645.85,542.25,615.85,439.83736421010497,101836,73.03191474970204,72.02900914485136,NaN,NaN,NaN,NaN,NaN,NaN,71.74375582919504
1151874000,615.85,677.15,602.35,636.65,447.5555067901008,77642,75.70566684430851,73.76258111013638,NaN,NaN,NaN,NaN,NaN,NaN,63.67699932436357
1154379600,636.65,656.3,607.15,627,454.59254573950864,137051,71.98085347027096,74.72829278063192,NaN,NaN,NaN,NaN,NaN,NaN,57.2235941204984
1157058000,627,640.45,570.9,598.25,460.22617139678283,165211,61.791071065545545,75.16019416909043,NaN,NaN,61.791071065545545,NaN,NaN,NaN,46.70952090439123
1159736400,598.25,611.05,559.7,607,465.98200781259527,287043,63.55743264579539,75.55140589657664,NaN,NaN,NaN,NaN,NaN,NaN,37.96289346868916
1162332000,607,648.95,605.9,648,473.1199682905327,298841,70.69810068830742,75.66693609739185,NaN,NaN,NaN,NaN,NaN,NaN,34.62921907609696
1164924000,648,650.15,611.85,636.65,479.5329107105118,226968,66.63200770936311,75.62192327146333,NaN,NaN,NaN,NaN,NaN,NaN,32.10775943581644
1167602400,636.65,654.8,602.35,652.8,486.3276985257859,203459,69.4450740954158,75.2969506297578,NaN,NaN,NaN,NaN,NaN,NaN,28.04564843627707
1170280800,652.8,688.8,643.45,669.3,493.5030828973237,231855,72.14423590584396,74.87027964105168,NaN,NaN,NaN,NaN,NaN,NaN,29.605792448926028
1172700000,669.3,677.35,632.8,663.85,500.18335415625216,302196,69.85132379948621,73.80661060766145,NaN,NaN,NaN,NaN,NaN,NaN,28.23316788887828
1175461200,663.85,693.95,656.6,678.55,507.1781245814972,257176,72.5031333572162,73.1860224384332,NaN,NaN,NaN,NaN,NaN,NaN,29.579569801746857
1177966800,678.55,690.95,652,660.55,513.1927079312424,259014,64.6676007007943,71.82984689780535,NaN,NaN,NaN,NaN,NaN,NaN,29.254323320826014
1180645200,660.55,674.1,639.23,649.65,518.5439742868799,249164,60.2330167619888,69.78021884795416,NaN,NaN,60.2330167619888,NaN,NaN,NaN,25.085275916500073
1183323600,649.65,687.76,645.35,664.3,524.259896863865,232135,63.96900917771425,68.3007457836966,NaN,NaN,NaN,NaN,NaN,NaN,24.85679420176615
1185915600,664.3,676.92,642.12,673.24,530.1022538495959,267919,66.15207960786782,67.80932898785129,NaN,NaN,NaN,NaN,NaN,NaN,23.490706766361765
1188766800,673.24,746.05,671.59,743.65,538.4766752672588,249777,77.97556760527316,67.97146475649163,NaN,NaN,NaN,NaN,NaN,NaN,31.592674352780957
1191186000,743.65,797.3,720.92,796.8,548.6070017273663,409213,83.01427518359066,68.75956630744302,NaN,NaN,NaN,NaN,NaN,NaN,40.5365251415574
1193864400,796.8,845.955,772.8,782.25,557.7694722478617,490107,77.55028306425731,69.88522430735102,NaN,NaN,NaN,NaN,NaN,NaN,49.05926672510043
1196632800,782.25,843.11,777,833.56,568.584787061671,350936,82.19866157229814,71.21674065924408,NaN,NaN,NaN,NaN,NaN,NaN,55.87745999193486
1199138400,833.56,936.55,833.56,926.23,582.6100895298408,465785,87.47008934354574,72.41473984890395,NaN,NaN,NaN,NaN,NaN,NaN,62.8962344429129
1201816800,926.23,976.15,884.4,973.45,597.937144842396,454347,89.28840432441302,74.03305389283608,NaN,NaN,NaN,NaN,89.28840432441302,NaN,68.86763879854692
1204495200,973.45,1032.85,904.75,916.29,610.4215705348511,557265,74.55461560775815,74.39802114371768,NaN,NaN,NaN,NaN,NaN,NaN,74.02308564042127
1206997200,916.29,953.19,862.7,877.6,620.8991560040726,561639,66.23223082812024,73.97573506673741,NaN,NaN,NaN,NaN,NaN,NaN,70.56270060393523
1209589200,877.6,935.5,845.4,886.52,631.3156596901873,918080,67.18239528928524,73.78509731600877,NaN,NaN,NaN,NaN,NaN,NaN,64.93979512723335
1212354000,886.52,935.135,857.7,925.44,642.849947545474,1085238,71.16507787104204,73.6895219241392,NaN,NaN,NaN,NaN,NaN,NaN,60.44147074587186
1214859600,925.44,988.58,894.105,914.13,653.4883809750633,1208849,68.44938494532657,73.95964937017722,NaN,NaN,NaN,NaN,NaN,NaN,60.35770570373703
1217538000,914.13,917.35,772.95,831.05,660.4515817211392,905890,52.038703784394265,73.37434130034903,NaN,NaN,NaN,NaN,NaN,NaN,51.1283328715517
1220216400,831.05,926.65,736.35,870.95,668.7064216536435,1148157,57.5388893016244,72.91504702348547,NaN,NaN,NaN,NaN,NaN,NaN,46.30241103626096
1222808400,870.95,931.95,681.65,724.6,670.8983266868339,1114568,39.056673670299716,70.97966088508774,NaN,NaN,39.056673670299716,NaN,NaN,NaN,45.62185205393867
1225663200,724.6,831.6,700.43,817.98,676.6662354442129,1060685,50.47560374849193,69.01537775246052,NaN,NaN,NaN,NaN,NaN,NaN,45.077404868080826
1228082400,817.98,890.85,741.4,881.7,684.7067752307144,1080397,56.7033132036362,67.13602332532092,NaN,NaN,NaN,NaN,NaN,NaN,36.94378639513281
1230760800,881.7,929.755,801.825,927.8,694.2398428687255,1086954,60.72327647851116,65.93409428348191,NaN,NaN,NaN,NaN,NaN,NaN,32.453872099919664
1233525600,927.8,1006.45,889.63,942.75,703.9853392268147,700867,62.01012685693576,64.49205608952745,NaN,NaN,NaN,NaN,NaN,NaN,34.13775073072185
1235944800,942.75,967.2,883.405,919.15,712.4231690610573,928372,58.60042132457656,62.42993694531537,NaN,NaN,NaN,NaN,NaN,NaN,34.62974856025298
1238533200,919.15,933.645,864.98,888,719.3085349802315,799197,54.17691082179668,59.921973123699914,NaN,NaN,NaN,NaN,NaN,NaN,32.2653437770141
