time,open,high,low,close,EMA,Volume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
1296511200,1332.64,1418.335,1325,1411.2,1004.693367,677877,69.9475106,70.1087628,NaN,NaN,NaN,NaN,NaN,NaN,56.1628049
1298930400,1411.2,1447.832,1381.025,1432.313,1021.462765,961986,71.34938773,70.76756307,NaN,NaN,NaN,NaN,NaN,NaN,53.86968194
1301605200,1432.313,1569.465,1412.771,1563.75,1042.728931,1019094,78.40461073,71.71394129,NaN,NaN,NaN,NaN,NaN,NaN,57.52704164
1304283600,1563.75,1576.472,1462.702,1535.639,1062.058738,1611162,74.01898903,72.39865441,NaN,NaN,NaN,NaN,NaN,NaN,60.64516333
1306875600,1535.639,1558.242,1490.812,1500.078,1079.235964,1074463,68.56118344,72.30540617,NaN,NaN,NaN,NaN,NaN,NaN,63.13966069
1309467600,1500.078,1632.826,1478.257,1627.15,1100.722788,1030234,75.74945964,72.53556518,NaN,NaN,NaN,NaN,NaN,NaN,67.09620803
1312146000,1627.15,1912.277,1605.9,1825.613,1129.149856,3309904,82.69963817,73.13406493,NaN,NaN,NaN,NaN,82.69963817,NaN,72.41578992
1314824400,1825.613,1921.07,1533.207,1623.813,1148.54841,2837484,62.28108933,73.05475487,NaN,NaN,NaN,NaN,NaN,NaN,70.07849859
1317589200,1623.813,1752.728,1596.009,1714.997,1170.76208,1909676,66.48721104,72.87876374,NaN,NaN,NaN,NaN,NaN,NaN,68.20866554
1320094800,1714.997,1803.023,1666.683,1746.439,1193.337646,1603207,67.87679751,72.50001696,NaN,NaN,NaN,NaN,NaN,NaN,67.93329845
1322690400,1746.439,1763.305,1522.764,1565.025,1207.913621,976368,53.48225485,70.87734278,NaN,NaN,NaN,NaN,NaN,NaN,55.79265057
1325455200,1565.025,1747.693,1565.025,1737.721,1228.690381,829412,62.09169474,69.76309551,NaN,NaN,NaN,NaN,NaN,NaN,46.08013227
1328047200,1737.721,1790.792,1688.483,1696.912,1247.052013,863985,59.17992614,68.30532944,NaN,NaN,NaN,NaN,NaN,NaN,40.96749839
1330552800,1696.912,1726.175,1628.18,1668.324,1263.572483,918246,57.0707293,67.80003445,NaN,NaN,NaN,NaN,NaN,NaN,33.49891036
1333314000,1668.324,1683.574,1612.394,1664.889,1279.310385,610793,56.79709891,66.86071933,NaN,NaN,NaN,NaN,NaN,NaN,28.70976225
1335819600,1664.889,1671.62,1527.117,1560.508,1290.337743,941717,48.79864715,65.24995214,NaN,NaN,48.79864715,NaN,NaN,NaN,30.18733157
1338498000,1560.508,1640.938,1545.293,1597.584,1302.386616,951439,51.52642364,63.33008164,NaN,NaN,NaN,NaN,NaN,NaN,31.36938703
1341176400,1597.584,1629.692,1555.126,1614.535,1314.627729,644194,52.81927017,61.815816,NaN,NaN,NaN,NaN,NaN,NaN,32.3150314
1343768400,1614.535,1693.146,1584.153,1691.885,1329.422132,543846,58.50118964,61.09724502,NaN,NaN,NaN,NaN,NaN,NaN,26.77093227
1346619600,1691.885,1787.584,1685.587,1772.262,1346.788401,607334,63.62256378,60.23103817,NaN,NaN,NaN,NaN,63.62256378,NaN,29.15568003
1349038800,1772.262,1796.001,1698.736,1720.617,1361.448346,586640,58.41181022,58.49619332,NaN,NaN,NaN,NaN,NaN,NaN,31.53301908
1351717200,1720.617,1754.49,1672.738,1714.878,1375.308332,549609,57.81980375,58.17753006,NaN,NaN,NaN,NaN,NaN,NaN,29.80134872
1354485600,1714.878,1723.438,1635.807,1676.244,1387.109731,1075053,53.69815376,57.26402597,NaN,NaN,NaN,NaN,NaN,NaN,23.84144859
1356991200,1676.244,1697.37,1626.022,1663.67,1397.955232,1992036,52.33224967,56.15370112,NaN,NaN,NaN,NaN,NaN,NaN,20.23422059
1359669600,1663.67,1685.483,1555.096,1579.608,1405.07887,2976107,43.92829045,55.4712751,NaN,NaN,NaN,NaN,NaN,NaN,23.84328881
1362088800,1579.608,1616.958,1561.552,1596.946,1412.603071,2646214,45.94257888,54.31776682,NaN,NaN,NaN,NaN,NaN,NaN,26.73054339
1364763600,1596.946,1604.019,1321.936,1476.744,1415.118402,5211521,35.8874855,52.65402106,NaN,NaN,NaN,NaN,NaN,NaN,37.00691475
1367355600,1476.744,1488.081,1338.272,1387.96,1414.053366,5073154,30.36516165,50.74648051,NaN,NaN,NaN,NaN,NaN,NaN,45.22801184
1370206800,1387.96,1423.726,1180.512,1234.686,1407.019352,5431505,23.37835038,48.35942705,NaN,NaN,23.37835038,NaN,NaN,NaN,53.55155608
1372626000,1234.686,1348.176,1208.306,1325.082,1403.806122,5240411,33.52646642,47.26855699,NaN,NaN,NaN,NaN,NaN,NaN,60.21039148
1375304400,1325.082,1433.773,1272.964,1395.288,1403.472078,5456923,40.42099692,46.47531223,NaN,NaN,NaN,NaN,NaN,NaN,56.09178546
1378069200,1395.288,1416.442,1291.981,1328.924,1400.548624,4522972,36.40554595,45.30290335,NaN,NaN,NaN,NaN,NaN,NaN,52.79690064
1380574800,1328.924,1361.936,1251.691,1323.138,1397.512914,5392875,36.05424277,43.69955001,NaN,NaN,NaN,NaN,NaN,NaN,52.05408899
1383253200,1323.138,1327.584,1225.535,1251.215,1391.77574,3224679,31.76739532,41.42418083,NaN,NaN,NaN,NaN,NaN,NaN,52.60906379
1385935200,1251.215,1267.964,1182.444,1205.094,1384.454888,3468728,29.25778369,39.34175036,NaN,NaN,29.25778369,NaN,NaN,NaN,54.75666965
1388527200,1205.094,1279.29,1203.666,1244.476,1378.96552,3262265,34.24763777,37.65802422,NaN,NaN,NaN,NaN,NaN,NaN,54.56877126
1391378400,1244.476,1345.49,1240.886,1326.561,1376.910441,2796632,43.57943277,36.93525844,NaN,NaN,NaN,NaN,NaN,NaN,45.22440271
1393797600,1326.561,1392.324,1282.466,1284.006,1373.267129,3066811,40.24795469,36.07209451,NaN,NaN,NaN,NaN,NaN,NaN,39.11908642
1396299600,1284.006,1331.26,1268.602,1291.45,1370.058614,2185849,41.1335424,35.87246965,NaN,NaN,NaN,NaN,NaN,NaN,32.58780058
1398891600,1291.45,1315.704,1242.292,1249.669,1365.337453,3827551,37.61350263,35.27753563,NaN,NaN,NaN,NaN,NaN,NaN,27.87643358
1401656400,1249.669,1329.628,1240.374,1327.149,1363.839867,1913693,47.06420714,36.07587289,NaN,NaN,NaN,NaN,47.06420714,NaN,22.40995742
1404162000,1327.149,1345.361,1281.016,1282.916,1360.666382,2268945,42.89118287,36.97058869,NaN,NaN,NaN,NaN,NaN,NaN,20.23174291
1406840400,1282.916,1322.912,1269.184,1287.584,1357.800406,1327196,43.4860945,38.40685613,NaN,NaN,NaN,NaN,NaN,NaN,16.3929482
1409518800,1287.584,1289.994,1204.453,1208.127,1351.930861,1380802,36.25406981,38.60168495,NaN,NaN,NaN,NaN,NaN,NaN,20.81309749
1412110800,1208.127,1255.398,1161.098,1173.157,1344.920121,2020862,33.49592267,38.10703678,NaN,NaN,NaN,NaN,NaN,NaN,27.38443735
1414965600,1173.157,1208.087,1131.306,1167.046,1337.944665,2566910,33.00232357,37.86394947,NaN,NaN,33.00232357,NaN,NaN,NaN,34.26191764
1417384800,1167.046,1238.385,1142.784,1182.789,1331.860129,2219031,35.74646913,37.84196564,NaN,NaN,NaN,NaN,NaN,NaN,33.87943728
1420063200,1182.789,1307.792,1167.624,1283.956,1329.981536,2797952,50.42581971,39.17471024,NaN,NaN,NaN,NaN,50.42581971,NaN,29.69833324
1422828000,1283.956,1286.192,1190.39,1213.14,1325.399515,1739104,42.73701136,40.13751222,NaN,NaN,NaN,NaN,NaN,NaN,26.35345001
1425247200,1213.14,1223.353,1142.758,1183.644,1319.840475,716769,39.88715247,40.5403347,NaN,NaN,NaN,NaN,NaN,NaN,24.55657727
1427835600,1183.644,1224.31,1175.384,1184.393,1314.528809,629607,40.00144851,40.28476439,NaN,NaN,NaN,NaN,NaN,NaN,22.96180121
1430427600,1184.393,1232.473,1170.193,1190.424,1309.661954,553133,41.01734219,40.33972064,NaN,NaN,NaN,NaN,NaN,NaN,20.13134464
1433106000,1190.424,1205.973,1162.786,1172.37,1304.277956,544166,38.80461677,40.17336881,NaN,NaN,NaN,NaN,NaN,NaN,19.14926747
1435698000,1172.37,1175.668,1072.25,1095.568,1296.093252,677164,30.84202415,39.68969178,NaN,NaN,30.84202415,NaN,NaN,NaN,27.1448852
