time,open,high,low,close,EMA,EMA,EMA,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1716559200,2337.605,2343.11,2337.565,2341.78,2339.351871760357,2340.7212910546905,2340.2383781378308,27.0995826816237,54.006932446030746,55.2841405342666,NaN,NaN,NaN,NaN,54.006932446030746,NaN
1716559500,2341.78,2343.25,2339.465,2340.725,2339.3820504029864,2340.7216282315367,2340.257461348112,25.07647945214691,49.929084856347494,55.31302179914012,NaN,NaN,NaN,NaN,NaN,NaN
1716559800,2340.725,2341.63,2337.785,2337.995,2339.3515657787448,2340.4737529377608,2340.1687373736763,21.601734727764995,41.023172772741916,54.159496166544,NaN,NaN,NaN,NaN,NaN,NaN
1716560100,2337.995,2340.13,2335.545,2339.71,2339.3594434539373,2340.40432085251,2340.150747672748,23.62504059068317,47.55303645418868,52.89379365358773,NaN,NaN,NaN,NaN,NaN,NaN
1716560400,2339.71,2339.71,2336.22,2337.39,2339.316158982422,2340.1302916841,2340.0424830581305,25.243685281017708,40.76838464035891,51.521857385468756,NaN,NaN,NaN,NaN,NaN,NaN
1716560700,2337.39,2338.59,2336.06,2336.865,2339.262287356435,2339.8334469855454,2339.9178758793805,26.92398831229158,39.35651451218209,49.83370917505989,NaN,NaN,39.35651451218209,NaN,NaN,NaN
1716561000,2336.865,2339.5,2336.77,2338.755,2339.251138183766,2339.735406350496,2339.8722729037186,23.80171682155865,46.7350886567271,48.80919129931751,NaN,NaN,NaN,NaN,NaN,NaN
1716561300,2338.755,2339.85,2336.755,2336.805,2339.1973769050023,2339.469005773178,2339.751987691808,19.648370936402532,41.01432324914034,46.621640688035086,NaN,NaN,NaN,NaN,NaN,NaN
1716561600,2336.805,2338.785,2336.595,2337.95,2339.169962027969,2339.330914339253,2339.6813215078155,17.11618326025012,45.37664602873024,44.87359160274419,NaN,NaN,NaN,NaN,NaN,NaN
1716561900,2337.95,2339.085,2336.24,2337.785,2339.13952330208,2339.1903766720484,2339.6069559584894,16.97984339586481,44.84560622106448,44.373336144347874,NaN,NaN,NaN,NaN,NaN,NaN
1716562200,2337.785,2338.915,2337.375,2338.725,2339.1304128998363,2339.1480697018624,2339.5723694503135,16.870771504356558,48.64960096518875,44.062871675996675,NaN,NaN,NaN,NaN,NaN,NaN
1716562500,2338.725,2338.985,2336.405,2338.535,2339.117326902038,2339.092336092602,2339.5316882953994,21.838715251733866,47.90752769230411,44.4709976473937,NaN,NaN,NaN,NaN,NaN,NaN
1716562800,2338.535,2339.47,2337.995,2339.395,2339.1234296074877,2339.1198509932747,2339.5263279700894,21.30702357793383,51.618987812890815,45.280352360975385,NaN,NaN,NaN,NaN,51.618987812890815,NaN
1716563100,2339.395,2340.315,2338.465,2338.71,2339.114343242488,2339.0825918120677,2339.494315108517,19.340090889081157,48.557213361024296,46.238722833494286,NaN,NaN,NaN,NaN,NaN,NaN
1716563400,2338.71,2339.38,2337.82,2339.3,2339.1184236107847,2339.1023561927886,2339.4866949081834,17.5706315606985,51.320516936886015,46.046836011412516,NaN,NaN,NaN,NaN,NaN,NaN
1716563700,2339.3,2340.23,2337.435,2337.435,2339.0814252896685,2338.9507783570807,2339.406236284333,17.37319608430077,43.17496649916936,45.56439898589979,NaN,NaN,NaN,NaN,NaN,NaN
